Id, [Rank] Name [Guild], Wins, BW Level, Kills, Final Kills, W/L, K/D, Final K/D
738,[MVP+] Stronq [TRAGEDY],4328,401,14348,15172,0.92,0.58,4.01
739,[YOUTUBE] SB737 [XBOX],4317,224,7159,12555,6.38,0.61,16.85
740,[MVP+] Scubix [H],4316,225,6377,14565,5.79,0.62,17.57
741,[MVP+] Fqrret [DEMON],4315,321,13565,11719,1.57,0.71,4.35
742,[MVP+] OuO_87 [PANNI],4311,424,11160,9649,2.59,0.51,5.82
743,[MVP+] ThankfulYan [ANNOY],4303,336,9454,13185,6.71,0.71,22.81
744,[MVP+] xMody [GOAL],4300,223,7109,9074,3.41,0.44,6.63
745,[MVP+] vintiii [2NISIA],4297,383,13030,14425,4.32,0.89,13.31
746,[MVP+] Beiorg,4295,303,7322,8463,2.17,0.30,4.38
747,[MVP++] Emiwy [FOO],4295,459,7996,5722,1.25,0.57,1.78
748,[MVP+] Tixh [UTMOST],4295,497,14888,9041,0.59,0.37,1.42
749,[MVP+] FlynnyLovesDemii [HOLY],4293,467,17479,6731,1.04,0.59,1.64
750,[MVP+] angelikas,4293,197,4996,11674,13.05,0.70,36.94
751,[HELPER] Eighties [ＳＵＢ２ＭＥ],4282,349,13716,11573,1.69,0.58,4.50
752,[MVP+] ohJamie [GANG],4281,529,23007,16402,0.82,0.78,3.42
753,[MVP+] SpoonfulOfCringe [NOODLE],4276,585,32023,19419,0.74,0.88,3.82
754,[MVP+] SantaWolf,4276,195,5462,7411,3.47,0.39,5.76
755,[MVP+] FreakinDope [SPASM],4276,506,16370,14157,2.15,0.72,7.01
756,[MVP+] Luvings [STORM],4275,381,14629,10994,1.76,1.12,4.68
757,[VIP+] DoNotBloodySteal [XCUSE],4274,380,15602,9987,1.27,0.65,2.97
758,[MVP+] symeone [S],4273,324,8849,10135,1.99,0.44,4.72
759,[MVP+] Mewzzy,4272,413,17328,11499,4.27,1.17,11.34
760,[MVP+] multiplier [FAZE],4272,355,9443,10149,3.2,0.43,7.22
761,[MVP+] SpookyB1u3Y [TRAGEDY],4269,412,12798,7822,2.41,0.70,4.35
762,[MVP+] Luszquinha,4266,268,8155,8393,2.36,0.48,4.67
763,[MVP+] SpookyLiqhtnin [ABUSE],4265,581,23236,11015,0.59,0.55,1.54
764,[MVP+] Agentix [NERDS],4263,546,22530,15165,1.18,0.86,4.35
765,[MVP+] CytaBlink [RMPGE],4263,417,18644,15129,4.16,1.08,13.84
766,[MVP+] StepDown [REVOLT],4260,544,17739,15339,1.80,0.78,6.81
767,[MVP+] mommyalt [S],4256,466,14767,13230,1.32,0.57,4.23
768,[MVP+] spookytryhxrd [TRYS],4254,399,15844,14537,1.51,0.60,4.77
769,[MVP+] Metality [SOS],4250,395,18264,17302,3.24,1.16,13.04
770,[MVP+] ohbuliq,4243,303,13939,13840,1.99,0.72,6.38
771,[MVP+] Apoca [SKEER],4242,438,12529,13084,1.19,0.47,3.43
772,[MVP+] HeathrowAirport,4242,392,16662,15248,2.82,1.04,10.81
773,[MVP+] Weblington,4241,373,11595,10795,2.29,0.65,5.82
774,[MVP+] TO0T,4238,377,11307,7673,2.50,0.63,4.65
775,[MVP+] nauxox [WIPE],4238,437,11114,8763,3.33,0.54,6.23
776,[MVP++] tyelar [S],4235,470,13815,11960,1.71,0.69,4.62
777,[MVP+] iMtOOfLIMZY [VIBES],4231,412,21339,24818,1.59,0.91,9.09
778,[MVP+] rantis10 [GRAPE],4231,268,8072,10046,2.94,0.44,6.56
779,[MVP+] Siderush [ANTI],4230,503,15677,16750,1.87,0.72,7.71
780,[MVP++] Floppella [FLOPELA],4219,584,10970,8805,2.32,0.44,4.80
781,[MVP++] Venetoh [ITALY],4218,427,19594,18043,1.90,0.80,8.78
782,[MVP+] Yarit [ΘREBLΘ],4211,221,4998,7514,5.52,0.47,8.53
783,[MVP+] HA_heathen002 [FAMILY],4210,736,18301,9014,0.52,0.46,1.13
784,[VIP] Dargy152 [FH],4209,197,7654,8848,4.67,0.54,9.24
785,[MVP+] Protocolist [KEK],4209,270,6771,10309,11.96,0.55,22.31
786,[MVP+] Rasheedo,4209,404,18831,13229,1.48,0.81,4.41
787,[MVP+] hjiyn [NANI],4203,363,13588,9009,1.33,0.45,3.09
788,[MVP+] TheName [HGF],4200,269,5493,7187,3.66,0.37,5.69
789,[MVP+] aiqt [IYN],4195,452,15781,12933,1.08,0.75,3.25
790,[MVP++] WilliamPlays [CAR],4184,484,21390,18414,1.06,1.30,4.99
791,[MVP++] War_MC [DAWN],4183,618,34777,15440,1.30,1.37,4.79
792,[MVP++] Teilars,4182,447,26154,15559,0.77,0.72,3.02
793,[MVP+] CEO_of_TOXIC [DEMON],4181,350,15094,12217,2.41,0.82,6.74
794,[MVP+] Alistel [GAMER],4176,461,17044,13248,2.06,0.88,6.98
795,[MVP+] xVqnom [SORE],4175,426,17933,12438,1.22,0.77,3.92
796,[MVP+] Amilleon [TURDLE],4174,342,9221,6484,2.27,0.72,3.62
797,[MVP+] cubitc [TLG],4174,457,15875,14286,1.70,0.74,6.04
799,[MVP+] illumnati [LIGHT],4173,428,10286,10563,1.28,0.46,3.30
800,[MVP+] MrTryHqrd,4173,526,28056,13862,0.64,0.67,2.16
801,[MVP++] 0_Palmer_0 [0P],4172,532,17282,11600,1.45,0.71,4.19
802,[MVP+] Reddjo [PURGA],4169,392,17049,16240,1.03,0.54,3.87
803,[MVP+] _Click2Win_,4168,303,11575,13913,1.60,0.56,5.78
804,[MVP+] Kimberlite [HEARTS],4167,429,32267,19339,1,0.95,5.40
805,[MVP++] vantuir,4163,319,8780,10454,2.86,0.47,7.55
806,[MVP++] cvtter [UTMOST],4162,251,10617,12527,4.58,0.59,12.54
807,[MVP+] ariistotle,4161,288,8305,7476,3.15,0.47,5.47
808,[MVP+] SpOoKy11matt [ABYSS],4161,259,7243,5714,2.11,0.39,2.93
809,[YOUTUBE] Elvisoo [NERDS],4157,568,27838,14783,1.58,1.29,6.56
810,BaseballTek [TSKS],4156,429,20069,16795,1.66,0.89,6.72
811,[MVP+] Shrouted,4156,449,31549,15522,0.95,1.13,4.24
812,[MVP+] Swqpping [UWU],4152,614,23702,15540,1.30,0.73,4.99
813,[MVP+] InSpiritNite,4152,341,11319,14070,2.62,0.73,9.30
814,[VIP+] Artist_4_Life [SCR],4150,233,5625,5682,3.94,0.46,4.84
815,[VIP+] iCes_ [KEK],4148,284,10513,13344,2.93,0.81,10.83
816,[MVP++] ttinooo [SLEEPY],4148,348,17173,9230,1.76,0.68,3.86
817,[MVP+] ChubbyHaxi [STORM],4141,448,13150,9714,1.91,0.51,4.70
818,[MVP+] xEmilie [TRAGEDY],4141,426,23481,13944,1.34,0.99,4.59
819,[MVP++] braddyyy [ICKY],4138,506,16876,11154,0.81,0.52,2.21
820,[MVP+] HAUNTED_BOY [IQ],4137,431,11399,6782,1.11,0.45,1.66
821,[MVP++] Jayderino [ANNOY],4134,320,10403,13153,3.36,0.66,11.00
822,[MVP+] Gun_Tish,4133,285,15552,12447,2.30,0.91,6.80
823,[MVP+] Lqxie [TRYHARD],4133,421,19202,11609,1.34,0.80,3.86
824,[MVP+] TheSpanishGuy7 [SOUTH],4131,553,18147,17967,1.06,1.06,4.98
825,[MVP+] demonUIRZ [FAZE],4128,369,10321,11554,1.01,0.49,3.61
826,[MVP+] Tankerson [BRIDGE],4127,371,21608,15269,2.04,0.92,8.00
827,[MOD] aaron1998ish [ΘREBLΘ],4127,543,21464,13999,1.55,1.38,5.12
828,[MVP++] Jay1117 [ENIGMA],4127,312,7982,8618,4.70,0.45,8.35
829,[MVP+] cchad [FAZE],4124,445,16156,15252,1.74,0.72,6.70
830,[MVP+] spookyStev [ＳＵＢ２ＭＥ],4117,472,17183,14788,1.78,0.88,6.37
831,[MVP+] rehk [ANNOY],4115,450,14477,11739,1.10,0.67,3.45
832,[MVP+] NutDu [ROCK],4115,424,17485,9064,1.22,0.67,2.82
833,[MVP++] Lcaf [FTI],4110,623,17885,14927,0.95,0.70,3.59
834,Trivaa,4110,469,16383,15546,1.88,1.10,7.25
835,[MVP+] JapaneseFlag [SWEAT],4105,299,13570,9545,2.41,0.73,5.45
836,Woxonandon [FALL],4103,894,54998,11354,0.53,1.49,1.48
837,[MVP+] DouyuTv_12345678 [RVNGRZ],4094,258,10881,13575,3.33,0.83,11.37
838,[MVP+] epicduck04 [ENIGMA],4093,507,16671,13840,1.55,0.74,5.37
839,[MVP+] Lionbailey [XD],4091,451,10918,6639,1.17,0.50,2.04
840,[MVP+] Mareio [GGMEN],4089,472,19353,15952,1.33,0.95,5.21
841,[MVP+] xChill [SKILL],4088,548,19060,8000,0.79,0.46,1.58
842,[MVP+] EternalPain [ANNOY],4086,365,8824,10869,4.09,0.69,11.42
843,[MVP++] GodLuna [NIGHT],4083,349,16442,10666,2.54,0.78,6.21
844,[MVP+] Sohber [FOO],4082,326,17754,16100,3.33,1.15,12.5
845,[MVP+] Digitization [GGMEN],4081,517,18356,17785,1.58,0.89,8.06
846,[MVP++] TheBridger,4078,350,12079,14405,2.21,0.59,7.55
847,[MVP++] SpookySznMel [ENIGMA],4077,419,19965,10696,3.00,1.89,7.54
848,[MVP+] Seakelp [IYN],4074,329,11098,12897,5.02,0.60,17.69
849,[MVP+] Dythe,4073,382,14956,9870,3.16,0.73,6.61
850,[VIP] PotatoSkills [REMIX],4072,410,13123,12923,3.00,0.81,9.45
851,[MVP++] Alixaa [LIX],4070,455,10398,7481,0.98,0.37,1.74
852,[MVP+] oSoudana [FEINT],4066,532,17479,10258,1.17,0.72,2.92
853,[MVP+] Kelseyyy [IYN],4064,211,6997,9553,5.07,0.64,10.94
854,[MVP+] purplified [WOKE],4060,417,12919,9451,1.47,0.59,3.52
855,[MVP+] Staraptor,4059,208,6982,12631,6.18,0.60,16.98
856,[MVP+] dabes [FAZE],4057,315,13133,13423,3.42,0.90,10.37
857,[MVP+] Tys3r,4056,219,7833,12824,6.47,0.65,17.81
858,[MVP++] samzi [QT],4051,379,23290,13647,1.70,1.20,5.39
859,[MVP+] sttapey,4049,321,13736,13072,2.22,0.72,7.17
860,[MVP++] elonely [FOO],4047,472,20856,12035,1.10,0.74,3.06
861,[MVP+] JustDrake_ [ITALY],4043,437,23612,16352,1.08,1.09,4.72
862,[MVP+] JanitorHudder [FAZE],4041,323,10002,10297,3.71,0.61,8.64
863,[MVP+] Lipsticks,4040,171,6039,8703,4.87,0.56,9.92
864,[VIP] mhmR3kt,4039,194,11664,13446,4.26,1.02,14.76
865,[MVP+] Empathism,4034,347,14691,14161,2.70,1.06,11.19
866,[VIP] Soundless [FAZE],4032,172,6709,11500,6.20,0.59,16.79
867,[MVP+] JustAntonio [BLOOD],4027,342,9537,18427,3.85,0.78,16.59
868,[VIP+] GymSharkAthlete [CPS],4027,375,28837,12944,1.79,0.98,5.58
869,[MVP+] Textualnut93 [ALLIED],4023,508,23410,15100,0.97,0.95,3.78
870,[MVP+] DoubleSub [RANKED],4020,366,14864,12033,1.69,0.85,5.43
871,[MVP+] MoonlitSoldier [SQINT],4018,450,23309,10466,1.03,0.71,2.83
872,[MVP+] LCTRL [GAME],4018,528,18536,17052,0.82,0.61,3.58
873,[MVP+] shuma181 [SKREIWA],4018,443,23781,15334,2.42,0.79,8.87
874,[MVP+] xClouTyy,4011,381,11835,10284,0.81,0.38,2.21
875,[VIP] idotkt [SHMILY],4009,363,17357,6323,2.17,0.61,3.15
876,[MVP+] Improvable,4009,195,10917,12906,4.30,0.78,13.18
877,[MVP+] AngelxPlays [LIGHT],4007,363,23406,14840,2.08,1.17,7.27
878,[MVP+] OhSalty,4005,351,16559,14168,1.74,0.72,5.74
879,[MVP++] OoShqdow [GGMEN],4002,423,17244,15507,2.63,0.94,9.60
880,NoticeMe [ΘREBLΘ],4000,352,8879,7090,1.70,0.40,2.89
881,[MVP++] co1004,3999,431,19444,12335,1.29,0.93,3.96
882,[MVP+] 0pped [GGMEN],3994,404,14489,11551,1.78,0.57,4.95
883,[MVP++] Q4ck [WINTER],3989,635,8553,5189,0.91,0.32,1.18
884,[MVP+] itzcqt_ [REKTGG],3988,280,10848,10267,1.98,0.47,5.16
885,[MVP+] TheKawaiHax [ASSIST],3988,430,13806,12978,1.70,0.54,5.30
886,[MVP+] Kawasaxi [INLOVE],3987,437,18054,12502,0.75,0.55,2.65
887,[MVP+] Lukaip [ANNOY],3985,260,9235,12725,6.14,0.81,19.49
888,GoogleUpdate [REMIX],3984,454,20729,16601,0.87,0.89,4.38
889,[MVP+] Snataa [LUNA],3981,319,12749,6603,1.34,0.43,2.37
890,[MVP+] Dankheart [ANNOY],3981,407,7858,10260,6.20,0.62,14.87
891,[MVP+] xmasSyd [ENIGMA],3981,448,18198,15133,1.46,0.78,5.49
892,[MVP+] Law5650 [CAKE14],3980,421,15516,6792,0.86,0.55,1.48
893,[MVP+] OpsUwU [ROCK],3977,529,14809,13240,1.53,0.50,4.67
894,[MVP] SUPERmelis [NOLIFE],3974,504,31734,17441,0.84,0.80,4.10
895,[MVP++] obsl [SIN],3974,332,11083,9623,3.29,0.83,7.67
896,[MVP+] OrangeRoyalty [RIVAL],3974,479,21278,15107,1.06,1.08,3.91
897,[MVP+] ilyRecal [DARK],3973,430,20907,17053,1.11,0.82,4.44
898,[MVP+] chimpster,3973,142,4347,11159,11.38,0.47,26.70
899,[MVP] OhTech [FORMAL],3973,408,15034,11785,1.09,0.58,3.06
900,[MVP+] MichaelFit [UTMOST],3973,278,10433,10440,4.46,0.82,12.20
901,[MVP+] ArohaTheDino [F],3970,344,10666,10197,2.45,0.53,5.86
902,[MVP++] oAston [LEAF],3970,472,16593,13677,2.80,0.86,12.23
903,[MVP+] Georging [FAZE],3968,349,10862,11846,3.06,0.65,9.42
904,[MVP+] 9Dani4 [ITAPRO],3966,490,21366,12571,1.49,0.90,5.45
905,[MVP+] iKowe [IYN],3966,236,9550,13101,5.21,0.90,16.00
906,[MVP+] BoosterGG [RATTY],3965,249,8200,11201,6.54,0.70,14.94
907,[MVP++] Prince_Andrew223 [YT],3960,533,25533,13517,1.10,0.80,3.70
908,[MVP+] Calcularity [MODUS],3958,437,14681,11709,1.30,0.84,4.52
909,[MVP+] Kanabayashi [LUCID],3958,384,17191,11470,2.10,1.11,6.32
910,[MVP+] 5harpy [FAZE],3958,276,13736,12398,3.85,1.21,11.57
911,[MVP+] voow [BLUE],3952,311,24856,10261,1.23,0.72,3.36
912,[MVP+] ArancinoG0D_ [ITAPRO],3949,496,34529,18137,0.83,1.33,3.86
913,[MVP+] Tundren [LIGH],3948,408,28220,17096,3.79,1.93,16.79
914,[MVP] MIRAG3 [IMMUNE],3945,312,22640,16778,4.28,1.72,17.07
915,[MVP+] ohNiko,3945,376,15720,9591,0.76,0.44,2.18
916,[MVP+] Xx_amasui69_Xx [ABYSS],3945,429,18084,13143,0.90,0.62,3.18
917,[MVP+] Reawakenings [STORM],3944,504,26964,17325,1.18,1.23,5.39
918,[MVP++] xLaylq [DUEL],3944,274,10479,11590,14.29,0.97,34.81
919,[MVP+] ImTra [GRAPE],3942,321,14147,12375,3.82,0.89,10.91
920,[MVP+] cinning [C],3939,465,11595,13053,1.33,0.46,4.82
921,[MVP+] Dalto12,3937,269,15614,17544,1.98,0.90,8.71
922,[MVP+] Aerondight [BLOOD],3937,254,8270,11800,15.44,0.96,41.40
923,[VIP] DoYouLoveMyName [VAPEGG],3936,320,18069,12920,1.44,0.82,4.92
924,[MVP+] Kctelyn [YEEHAW],3935,470,16351,9095,1.04,0.55,2.28
925,[MVP+] JabbaJordan [IYN],3935,277,11988,10795,2.55,0.69,7.39
926,[VIP] Zweite,3932,325,13834,14712,2.60,0.95,9.99
927,[MVP++] Velb [ＳＵＢ２ＭＥ],3932,481,17424,11902,0.68,0.52,2.05
928,[MVP+] Toshborn [YOAST],3931,478,18148,13893,1.46,0.79,4.75
929,[MVP+] eho [IYN],3931,256,11734,10520,4.64,0.66,13.22
930,[MVP++] Parfect [UH],3929,459,13327,12498,3.57,0.77,11.28
931,[MVP++] kayla47 [ERA],3928,458,21681,13302,0.81,0.60,2.91
932,Frity [LIGHT],3927,392,13446,11926,1.43,0.61,4.32
933,[MVP+] CatelynStark,3922,411,18299,11768,1.65,1.00,4.86
934,[MVP+] ilwe [ANNOY],3919,353,16637,13087,1.84,0.60,5.91
935,[MVP+] KittenNature [EBEAR],3916,310,7638,6434,1.98,0.46,3.29
936,[MVP++] Decembre [BLOOM],3913,331,13297,12768,4.26,0.80,12.32
937,[MVP+] ouching,3911,246,12841,11646,2.83,0.74,8.30
938,[MVP+] DestroyerODreams [FAZE],3907,390,18617,12185,1.60,0.95,5.13
939,[MVP++] Texco [FAZE],3906,406,11022,8971,2.77,0.54,5.77
940,[MVP+] abreast [DIYN],3905,215,6959,10546,5.28,0.54,14.18
941,[MVP+] Zador0k,3904,344,20307,16932,2.22,1.83,10.14
942,[MVP+] Awthony [HAVOC],3903,203,10735,11490,5.77,0.79,15.24
943,[VIP] Bawls,3901,216,6918,10222,3.05,0.52,7.17
944,[VIP] iRFP,3894,316,14562,13342,2.82,0.88,9.91
945,[MVP++] Stetto [ONION],3892,349,8430,5104,3.07,0.49,3.54
946,[MVP+] ObsidianBlocks [ΘREBLΘ],3891,443,17969,14472,1.60,0.70,5.84
947,[MVP+] Mairaly,3886,496,19120,12497,0.87,0.61,2.94
948,[MVP++] SaaaltyKing [LEGEND],3884,427,24055,17117,1.40,1.08,6.91
949,[MVP+] ItsOK [49],3882,412,15201,12964,1.24,0.69,4.90
950,[MVP+] Guexn,3880,411,17156,15026,1.21,0.67,5.59
951,pykid0407 [HAX],3877,366,21825,14733,0.98,0.78,3.74
952,[MVP] ChaseTheCheetah [HEAT],3873,486,29125,16568,2.08,1.28,8.68
953,[MVP+] Thereself [NORTH],3873,484,19797,18755,1.00,0.79,4.80
954,[MVP+] ilyDupERy,3869,351,11536,8999,1.36,0.72,2.93
955,[VIP] Pacificoo,3869,323,12270,10159,1.99,0.65,5.33
956,[MVP+] axhleigh [ENVY],3865,354,15805,10180,2.22,0.64,5.77
957,WeInThe6ix [CFOP],3864,425,17233,12475,1.39,0.66,4.41
958,[MVP+] Jamiika [ENIGMA],3863,353,18918,14929,1.11,0.75,4.70
959,[MVP+] Jueo,3862,395,12769,10026,1.92,0.79,5.22
960,[MVP++] AngelsCry [ANNOY],3862,517,13184,10855,0.96,0.49,2.66
961,[MVP+] 5th_Ender [ΘREBLΘ],3858,264,6643,9204,3.22,0.74,7.41
962,[MVP+] Mz_Hyde [SPOOKY],3853,567,16745,11498,1.46,0.86,4.23
963,[MVP+] DarkendSky [SCUM],3852,535,27025,18952,0.90,1.70,4.79
964,[MVP+] aychu,3852,471,14315,10430,1.05,0.55,2.93
965,[MVP+] MARVQL [FAZE],3851,342,20891,15347,1.74,1.03,6.96
966,[MVP++] Dragunda [DRAMON],3851,423,16830,7509,0.98,0.67,2.04
967,[MVP+] Ayan_,3848,353,14757,14445,1.82,0.93,8.36
968,[MVP++] Prettify [20CPS],3844,455,18203,6729,1.03,1.19,1.78
969,[MVP+] BlockBuilder345 [BEAST],3843,445,17027,13043,1.78,0.74,6.03
970,[MVP+] Imly [BRASIL],3842,428,13022,9796,2.42,0.74,6.01
971,[MVP++] xRyann_ [ŖĄЩŖ],3834,166,5371,11243,5.79,0.50,14.14
972,[VIP+] EaForZ [DARK],3825,391,10125,8326,1.37,0.41,3.34
973,[VIP] CalebSMC,3812,334,10890,10795,2.03,0.57,5.37
974,[MVP+] Type4k,3810,361,17172,15430,3.86,1.58,16.36
975,[VIP] JustLoveTW [L],3808,382,15026,11094,1.25,0.84,3.72
976,[MVP+] CoolCatZ71 [PUPPET],3807,527,23285,12568,1.43,1.23,4.62
977,[MVP+] Itzchwy [WIPE],3807,450,21200,12203,1.67,0.90,5.24
978,[MVP+] Samwy [ICKY],3807,529,11939,14613,1.57,0.81,6.10
979,[MVP++] ValleyDew [NIHIL],3806,405,18661,13294,3.80,1.50,13.64
980,[MVP+] OhDaija [DEAD],3805,531,18665,12804,0.84,0.84,2.84
981,[MVP++] Microsoft_Office [WAVY],3805,327,13346,12346,3.21,0.81,10.50
982,[MVP+] Hqshcode [VIBES],3805,411,12614,12104,1.36,0.58,4.41
983,[MVP+] DeadlyPeachy [GIGGLE],3802,415,12398,5204,2.09,0.88,2.74
984,[MVP+] Couches,3802,142,4962,9642,7.26,0.54,14.20
985,[MVP+] zeoru,3801,245,9341,8826,5.35,0.58,12.72
986,[MVP++] OPPIGG [STAR],3801,551,27090,13888,0.60,0.70,2.20
987,[MVP+] xStaf [ALLIED],3798,310,10099,11825,7.13,0.82,21.15
988,[MVP+] peliz [F],3798,381,10902,10426,2.26,0.61,6.27
989,[MVP++] Triggered [NATION],3796,404,13736,11467,1.49,0.69,4.64
990,[MVP+] Aquaa [ONION],3795,320,9573,7489,3.25,0.47,5.76
991,[MVP+] oOBetaOo [ITALY],3793,405,20960,13767,1.31,0.93,4.95
992,[MVP+] Weaselify [ΘREBLΘ],3791,382,15972,13620,1.79,0.74,6.29
993,[MVP++] nothqppi [LIX],3791,444,17244,10837,1.06,0.51,3.22
994,[MVP++] SpookyLuca [BLUE],3790,475,23850,18531,0.72,0.64,3.44
995,TheOgeid [ITAWAR],3783,468,35106,15977,0.78,0.88,3.25
996,[VIP+] Shiftayyy [FROG],3782,370,18091,10769,1.88,0.63,5.62
997,[MVP++] Surth [CON],3782,311,13552,13062,2.38,0.80,8.28
998,[VIP] Whatis [NATION],3780,342,23342,12724,1.04,0.78,3.58
999,[MVP+] PringlesLover69 [UTMOST],3779,227,3462,10138,22.77,0.34,48.51
1000,[MVP+] ChubbyLars [STORM],3779,310,6189,10514,9.40,0.62,26.29
