Id, [Rank] Name [Guild], Wins, BW Level, Kills, Final Kills, W/L, K/D, Final K/D
321,[VIP+] Orangeful [ITALY],6261,609,29176,19180,1.24,0.76,3.79
322,[MVP+] zzxxxx [DARK],6260,544,30525,21760,1.45,0.76,4.97
323,[MVP+] HimHam,6259,477,8056,11337,5.73,0.35,9.77
324,[MVP+] Turtlespyder,6254,365,11667,18143,3.22,0.64,10.63
325,[MVP++] Lamentable,6253,432,17483,17940,4.95,0.71,11.92
326,[MVP+] christopherCM [ABYSS],6246,528,12860,12337,3.00,0.55,5.40
327,[MVP+] cloutchasercari [KEK],6241,631,13600,10450,2.62,0.55,4.09
328,[MVP+] xd_noahxDDD [FAZE],6235,525,21858,22483,1.57,0.71,6.07
329,[MVP+] shxtsui,6227,308,12391,19067,6.26,0.68,15.85
330,[YOUTUBE] Demoned [C],6227,340,16249,21516,6.51,0.87,22.16
331,[MVP++] 3752,6219,537,29551,17759,2.09,1.15,5.84
332,[MVP+] OhMatje [ENIGMA],6219,504,18064,20525,1.66,0.57,5.10
333,[MVP++] VirtuaIsBACK [WAVY],6216,513,24956,19591,1.76,0.75,5.77
334,[MVP+] Lukeeeh [NORD],6207,528,12994,12888,2.43,0.49,5.44
335,[MVP++] BenjiTheFlyinCat [GEM],6199,947,40323,21246,0.69,0.73,2.36
336,[MVP+] accappy [FAZE],6197,309,4901,14440,3.90,0.34,7.39
337,[VIP+] higuy333 [GANG],6186,565,14532,12595,1.89,0.47,3.52
338,[MVP+] Kelpette [6],6185,457,10548,13293,4.00,0.61,7.56
339,[MVP+] Ecuador,6185,235,7748,21178,9.22,0.67,27.76
340,[MVP+] JewishCreepy,6171,325,14644,22866,5.07,0.72,16.91
341,[MVP+] iManikins [DARK],6155,525,21789,17840,2.19,0.73,6.46
342,[MVP+] quiffer [HEARTS],6152,546,23473,26192,1.25,0.83,7.63
343,[MVP+] eurasianjesus,6150,378,13773,18673,2.20,0.56,6.46
344,[MVP+] Catnada [SAD],6140,735,20749,23971,2.43,0.81,9.24
345,[MVP++] aSteal [ASSIST],6134,452,17009,14756,1.45,0.54,3.96
346,[MVP+] DestroyedBed,6130,332,9347,15771,2.74,0.36,7.46
347,[MVP+] chanelll [FOO],6126,456,32139,18102,1.76,1.09,5.19
348,[MVP++] oOjUsTiN,6114,524,20820,20415,1.69,0.55,5.65
349,[MVP+] xySilver [FAZE],6113,327,7412,16590,14.70,0.54,43.77
350,[MVP+] 9666,6110,490,16890,18223,1.67,0.54,5.09
351,[MVP+] mired,6108,480,29131,24241,2.81,0.92,10.36
352,[VIP] yJuuzouSuzuya [BRASIL],6103,640,28653,24681,2.01,1.15,10.05
353,[MVP+] Netto_ [SOUTH],6096,496,21481,20991,3.82,1.06,12.89
354,[MVP+] Xoku [KOGA],6087,456,27136,21813,4.07,1.36,14.41
355,[MVP+] Hadzoni [FOO],6085,399,14437,18882,4.23,0.69,12.86
356,[MVP+] akaMelonss,6064,489,23656,21061,2.45,0.89,8.94
