Id,K,D,K/D,FK,FD,FK/D,W,L,W/L,Beds Broken
984,4626,8641,0.54,9048,627,14.43,3658,472,7.75,3222
985,4393,8475,0.52,5280,227,23.26,2679,198,13.53,1610
986,2123,3297,0.64,1221,261,4.68,664,225,2.95,300
987,4804,6693,0.72,6448,197,32.73,2368,185,12.8,1944
988,5484,10006,0.55,5716,700,8.17,2490,672,3.71,2013
989,6089,10082,0.60,5752,1024,5.62,2208,1018,2.17,2655
990,6006,13506,0.44,5247,682,7.69,2750,577,4.77,1483
991,9928,10862,0.91,5408,1233,4.39,1781,1320,1.35,1503
992,4252,6160,0.69,3568,374,9.54,1307,338,3.87,1296
993,9130,17817,0.51,5204,1403,3.71,2175,1487,1.46,2162
994,6218,9117,0.68,3782,883,4.28,1210,831,1.46,1451
995,19864,20379,0.97,7804,2092,3.73,1908,2029,0.94,3376
996,8361,13735,0.61,5197,729,7.13,2118,711,2.98,1565
997,5384,6419,0.84,4799,511,9.39,1564,536,2.92,1634
998,10159,12889,0.79,4930,1151,4.28,1805,1196,1.51,1732
999,2192,7629,0.29,7280,83,87.71,3007,52,57.83,2483
1000,1713,3381,0.51,3792,84,45.14,1485,74,20.07,1225
