Id, Coins, Current Winstreak, Current Level, Diamonds Collected, Emeralds Collected, Gold Collected, Iron Collected
964,1775995,3,471,31628,10949,226193,1440773
965,721716,7,343,27635,12331,155707,842796
966,710140,1,423,12208,8438,205096,1587439
967,226538,14,353,16837,7369,168346,1002933
968,86490,0,455,77500,15453,374291,2432147
969,1252244,7,445,26950,11929,184883,1099025
970,546736,8,428,47587,29237,248515,1420311
971,882713,0,166,16762,2798,78204,578985
972,153408,0,391,12855,4549,160164,1079308
973,863089,0,334,11743,9230,150120,1008109
974,1831979,2,361,29258,20606,139954,698211
975,47892,0,383,36601,25025,237693,1425665
976,1629177,0,527,79141,36389,285343,1394661
977,112847,9,450,45763,19791,219427,1399675
978,185590,1,529,41104,19096,226532,1195437
979,1681253,32,405,32233,9540,167945,875236
980,2487428,1,531,32791,21694,306434,1782339
981,1259399,5,327,13186,7288,138020,818631
982,152321,0,411,37118,17023,175265,1009217
983,1134961,0,415,28066,15657,219648,1605428
984,455983,17,142,2278,909,91951,758232
985,553536,0,245,6027,6864,104018,643032
986,318748,6,551,44491,17189,319446,1533080
987,1806005,41,310,12194,6314,108722,677602
988,424223,3,381,11706,8734,118995,762494
989,979911,1,404,32887,21402,214810,1345842
990,1083594,1,320,26484,7725,124257,844167
991,83200,2,405,41774,15914,228217,1365245
992,852184,7,382,24174,9295,163196,957403
993,358405,0,444,14277,5463,219622,1423728
994,2056686,0,476,18049,10714,233506,1316300
995,1079747,0,468,34435,20831,276448,1687579
996,1309608,4,370,6892,4068,153931,1020585
997,405670,0,311,7838,5209,134044,811550
998,1937029,0,342,17632,7839,177565,1068357
999,449733,29,227,3421,1409,58965,400960
1000,384352,0,310,11129,5555,108284,662116
