Id, K, D, K/D, FK, FD, FK/D, W, L, W/L, Beds Broken
579,162,216,0.75,148,38,3.89,42,48,0.88,160
580,446,755,0.59,455,133,3.42,103,141,0.73,520
581,2823,2445,1.15,3546,255,13.91,884,293,3.02,3782
582,925,1342,0.69,1041,165,6.31,252,267,0.94,1218
583,726,1016,0.71,587,243,2.42,146,266,0.55,728
584,11916,10991,1.08,11665,1922,6.07,2295,2586,0.89,12729
585,10037,10019,1.00,10134,1198,8.46,2946,1262,2.33,10627
586,2458,6968,0.35,1422,1718,0.83,225,1958,0.11,2369
587,92,240,0.38,45,32,1.41,9,51,0.18,79
588,251,783,0.32,217,213,1.02,49,296,0.17,393
589,3026,2603,1.16,2455,538,4.56,592,636,0.93,2666
590,5971,8852,0.67,6381,1349,4.73,1494,1604,0.93,7317
591,367,254,1.44,243,32,7.59,60,42,1.43,265
592,985,1640,0.60,1155,259,4.46,245,311,0.79,1363
593,4968,4118,1.21,4572,576,7.94,1173,589,1.99,4930
594,536,865,0.62,666,124,5.37,181,141,1.28,810
595,125,206,0.61,141,30,4.7,35,40,0.88,165
596,2062,2722,0.76,2154,689,3.13,415,911,0.46,2748
597,1369,777,1.76,1226,119,10.30,283,140,2.02,1352
598,634,851,0.75,523,187,2.80,100,221,0.45,656
599,2210,1708,1.29,1656,430,3.85,294,514,0.57,2083
600,1958,2784,0.70,1478,625,2.36,290,747,0.39,1786
601,98,113,0.87,32,44,0.73,8,60,0.13,44
602,1403,3105,0.45,904,955,0.95,212,1048,0.20,1392
603,251,586,0.43,455,123,3.70,91,134,0.68,608
604,115,161,0.71,122,21,5.81,26,29,0.90,136
605,2487,4878,0.51,2571,862,2.98,586,978,0.60,3258
606,2159,3129,0.69,1853,650,2.85,361,760,0.48,2272
607,32,60,0.53,28,6,4.67,7,10,0.7,38
608,4667,4574,1.02,3527,1009,3.50,904,1283,0.70,3996
609,3380,4887,0.69,3012,855,3.52,587,1210,0.49,3635
610,904,1203,0.75,851,224,3.80,223,248,0.90,1007
611,2905,4374,0.66,2042,1080,1.89,509,1107,0.46,2449
612,6728,6512,1.03,6312,523,12.07,1598,568,2.81,6354
613,2221,4216,0.53,2518,823,3.06,471,957,0.49,2898
614,1443,1269,1.14,993,220,4.51,220,237,0.93,1124
615,148,341,0.43,142,52,2.73,29,114,0.25,181
616,31,54,0.57,17,7,2.43,7,8,0.88,23
617,3485,3780,0.92,3024,288,10.5,790,334,2.37,3206
618,1401,908,1.54,1242,68,18.26,296,87,3.40,1292
619,598,299,2,591,36,16.42,145,57,2.54,643
620,975,882,1.11,401,126,3.18,110,144,0.76,446
621,817,1651,0.49,525,346,1.52,87,434,0.20,739
622,1482,930,1.59,1213,60,20.22,304,177,1.72,1222
623,1426,2124,0.67,749,244,3.07,172,388,0.44,886
624,2208,1820,1.21,1822,255,7.15,502,272,1.85,1985
625,1004,1172,0.86,1371,60,22.85,343,70,4.9,1420
626,2016,3195,0.63,1338,879,1.52,302,899,0.34,1702
627,286,573,0.50,182,58,3.14,40,70,0.57,210
628,3211,3169,1.01,2003,733,2.73,468,750,0.62,2489
629,2904,3130,0.93,2707,524,5.17,582,696,0.84,3049
630,913,883,1.03,924,109,8.48,239,117,2.04,944
631,1114,1357,0.82,452,538,0.84,117,609,0.19,607
632,193,663,0.29,197,105,1.88,31,222,0.14,280
633,1754,1886,0.93,1612,362,4.45,349,408,0.86,1822
634,2121,2155,0.98,1337,541,2.47,319,597,0.53,1480
635,3893,3227,1.21,2195,1197,1.83,550,1262,0.44,2718
636,178,404,0.44,123,88,1.40,32,120,0.27,160
637,434,187,2.32,242,23,10.52,67,25,2.68,263
638,6250,5263,1.19,4150,762,5.45,1007,873,1.15,4548
639,1548,2129,0.73,1003,518,1.94,211,571,0.37,1241
640,2151,2372,0.91,2129,257,8.28,450,300,1.5,2482
641,1614,2180,0.74,1494,403,3.71,361,463,0.78,1672
642,439,655,0.67,458,127,3.61,84,164,0.51,547
643,3714,2740,1.36,3463,470,7.37,919,496,1.85,3670
644,1542,2348,0.66,1373,552,2.49,305,682,0.45,1652
645,362,190,1.91,358,42,8.52,82,62,1.32,374
646,2798,986,2.84,2825,218,12.96,636,222,2.86,3027
647,1084,1187,0.91,836,432,1.94,221,482,0.46,1090
648,832,2097,0.40,960,396,2.42,129,642,0.20,1299
649,434,1070,0.41,356,220,1.62,63,255,0.25,514
650,1986,4009,0.50,1167,897,1.30,209,1107,0.19,1670
651,1258,1900,0.66,1392,300,4.64,321,386,0.83,1577
652,2620,5000,0.52,2887,876,3.30,810,979,0.83,3839
653,1499,1524,0.98,1065,269,3.96,267,287,0.93,1195
654,1081,1001,1.08,529,126,4.20,135,146,0.92,561
655,70,166,0.42,53,57,0.93,9,71,0.13,75
656,3092,2238,1.38,2734,253,10.81,760,276,2.75,2778
657,770,1077,0.71,782,108,7.24,177,131,1.35,822
658,1576,3810,0.41,1471,1156,1.27,278,1231,0.23,2270
659,5210,4594,1.13,6633,682,9.73,1516,734,2.07,7249
660,751,916,0.82,430,175,2.46,84,230,0.37,558
661,2164,3406,0.64,1597,682,2.34,328,723,0.45,1875
662,2016,2918,0.69,2136,359,5.95,524,425,1.23,2324
663,432,1056,0.41,334,154,2.17,67,222,0.30,431
664,2317,2940,0.79,2145,621,3.45,420,740,0.57,2432
665,4976,5177,0.96,4289,1054,4.07,1099,1211,0.91,4990
666,2508,2474,1.01,2064,779,2.65,471,805,0.59,2522
667,482,649,0.74,254,149,1.70,56,213,0.26,295
668,671,1494,0.45,540,383,1.41,104,519,0.20,746
669,1778,1594,1.12,1635,269,6.08,427,308,1.39,1740
670,50,87,0.57,30,24,1.25,5,28,0.18,31
671,122,219,0.56,87,47,1.85,15,72,0.21,122
672,350,488,0.72,104,64,1.63,20,87,0.23,119
673,2171,928,2.34,727,120,6.06,173,167,1.04,885
674,1374,2550,0.54,1528,514,2.97,329,615,0.53,1841
675,126,139,0.91,110,24,4.58,26,26,1,115
676,148,427,0.35,152,110,1.38,31,125,0.25,222
677,2129,2185,0.97,2321,426,5.45,490,538,0.91,2680
678,44,79,0.56,33,20,1.65,10,20,0.5,48
679,3375,3410,0.99,2524,573,4.40,671,626,1.07,2803
680,2913,2989,0.97,2174,728,2.99,449,798,0.56,2534
681,4074,4326,0.94,2409,798,3.02,587,849,0.69,2801
682,277,821,0.34,198,195,1.02,34,278,0.12,332
683,663,1205,0.55,384,181,2.12,109,211,0.52,489
684,2918,3503,0.83,3183,763,4.17,665,817,0.81,3588
685,33,44,0.75,20,10,2,3,13,0.23,24
686,161,137,1.18,260,1,260,67,2,33.5,241
687,1492,1975,0.76,994,499,1.99,225,532,0.42,1147
688,780,1387,0.56,593,265,2.24,139,340,0.41,746
689,1566,1583,0.99,992,503,1.97,251,555,0.45,1424
690,313,1030,0.30,311,215,1.45,73,229,0.32,400
691,407,663,0.61,449,131,3.43,103,169,0.61,549
692,2887,3633,0.79,4188,650,6.44,1020,672,1.52,4906
693,2328,1622,1.44,2910,193,15.08,628,290,2.17,3097
694,406,771,0.53,327,137,2.39,69,154,0.45,390
695,1273,2023,0.63,1300,296,4.39,331,367,0.90,1586
696,905,577,1.57,474,145,3.27,97,175,0.55,504
697,4950,3167,1.56,4917,169,29.09,1223,346,3.53,5260
698,14413,11029,1.31,10907,1909,5.71,3260,2059,1.58,12153
699,992,1406,0.71,1389,157,8.85,308,213,1.45,1650
700,854,655,1.30,772,94,8.21,173,103,1.68,806
701,155,133,1.17,115,16,7.19,28,22,1.27,135
702,223,456,0.49,307,74,4.15,75,103,0.73,337
703,306,315,0.97,164,55,2.98,36,61,0.59,208
704,1402,1427,0.98,1400,320,4.38,357,330,1.08,1591
705,9259,5755,1.61,6107,888,6.88,1551,976,1.59,6531
706,2770,4419,0.63,2261,1798,1.26,427,1861,0.23,3398
707,2545,659,3.86,2259,69,32.74,521,86,6.06,2366
708,506,462,1.10,433,26,16.65,123,29,4.24,455
709,931,1198,0.78,835,245,3.41,159,305,0.52,1025
710,700,823,0.85,865,96,9.01,222,100,2.22,951
711,24,42,0.57,21,6,3.5,4,7,0.57,19
712,12,44,0.27,3,13,0.23,3,25,0.12,4
713,3210,3141,1.02,3698,406,9.11,864,456,1.89,4007
714,283,228,1.24,188,13,14.46,50,13,3.85,187
715,2404,2785,0.86,1537,493,3.12,341,627,0.54,1896
716,885,1964,0.45,1159,371,3.12,257,467,0.55,1487
717,4383,4861,0.90,4174,1339,3.12,872,1937,0.45,4918
718,5892,3743,1.57,5873,519,11.32,1508,541,2.79,6285
719,700,795,0.88,708,57,12.42,197,114,1.73,742
720,105,122,0.86,84,29,2.90,18,34,0.53,104
721,7113,7408,0.96,5937,1469,4.04,1579,1574,1.00,6993
722,3336,3347,1.00,2992,444,6.74,772,485,1.59,3253
723,15942,13583,1.17,14629,2634,5.55,3500,2935,1.19,16103
724,200,549,0.36,171,152,1.13,18,174,0.10,260
725,3294,3651,0.90,2620,751,3.49,677,824,0.82,3110
