Id,K,D,K/D,FK,FD,FK/D,W,L,W/L,Beds Broken
420,3566,5699,0.63,5241,128,40.95,1968,102,19.29,2195
421,1853,1882,0.98,1558,94,16.57,699,75,9.32,721
422,1300,2030,0.64,1528,150,10.19,688,160,4.3,696
423,3520,7901,0.45,3483,1016,3.43,2130,942,2.26,1780
424,1022,2019,0.51,958,187,5.12,529,204,2.59,443
425,2788,2454,1.14,3061,360,8.50,1146,355,3.23,1123
426,1663,2261,0.74,1871,181,10.34,642,194,3.31,779
427,538,676,0.80,576,64,9,223,64,3.48,253
428,1710,3877,0.44,1156,445,2.60,716,422,1.70,600
429,2530,4694,0.54,1806,423,4.27,692,405,1.71,546
430,781,1266,0.62,864,152,5.68,535,161,3.32,284
431,1705,1250,1.36,1939,57,34.02,620,51,12.16,748
432,5759,9041,0.64,10093,666,15.15,2796,640,4.37,3964
433,1128,1359,0.83,1047,100,10.47,392,87,4.51,456
434,934,1937,0.48,1074,139,7.73,489,129,3.79,509
435,6014,6655,0.90,3799,643,5.91,1297,616,2.11,1699
436,3321,6139,0.54,1800,682,2.64,831,636,1.31,1001
437,1098,2236,0.49,1684,265,6.35,661,269,2.46,809
438,1621,2400,0.68,1367,229,5.97,528,252,2.10,624
439,2960,4487,0.66,2808,345,8.14,1212,384,3.16,1386
440,1844,1951,0.95,1703,183,9.31,515,195,2.64,834
441,3515,6545,0.54,3379,588,5.75,1521,575,2.65,1533
443,4183,7114,0.59,2955,639,4.62,1466,659,2.22,1224
444,2779,1898,1.46,1748,317,5.51,551,299,1.84,706
445,7185,8275,0.87,6655,673,9.89,1836,654,2.81,2688
446,1680,2557,0.66,1611,240,6.71,639,237,2.70,695
447,1974,3069,0.64,1455,304,4.79,509,301,1.69,585
448,4170,5137,0.81,3251,403,8.07,1161,410,2.83,1522
449,2416,4664,0.52,1465,346,4.23,724,330,2.19,755
450,5102,8660,0.59,3295,703,4.69,1429,737,1.94,1573
451,2455,3348,0.73,2040,415,4.92,841,428,1.96,782
452,872,1642,0.53,1139,154,7.40,502,157,3.20,537
453,2131,5160,0.41,2157,378,5.71,1231,333,3.70,1037
454,3437,4968,0.69,3260,526,6.20,1243,523,2.38,1855
455,1741,3548,0.49,1427,361,3.95,602,386,1.56,665
456,4313,5874,0.73,3258,513,6.35,1389,472,2.94,1494
457,1439,3213,0.45,1304,175,7.45,604,161,3.75,561
458,6576,11614,0.57,8942,721,12.40,3440,672,5.12,3216
459,3145,4017,0.78,2610,364,7.17,955,344,2.78,918
460,1983,1814,1.09,2189,176,12.44,718,197,3.64,866
461,1137,1372,0.83,1722,145,11.88,630,136,4.63,708
462,4044,5360,0.75,2420,450,5.38,1147,427,2.69,1102
463,6234,10832,0.58,4279,1072,3.99,1811,1083,1.67,2287
464,3609,8021,0.45,2729,1045,2.61,1182,1128,1.05,1665
465,253,326,0.78,531,12,44.25,189,8,23.63,187
466,6297,9365,0.67,5053,855,5.91,2099,794,2.64,2363
467,2413,3554,0.68,3566,291,12.25,1433,254,5.64,1530
468,4187,4880,0.86,4266,442,9.65,1892,442,4.28,1686
469,1037,1038,1.00,1133,46,24.63,460,45,10.22,522
470,727,1479,0.49,1132,100,11.32,472,82,5.76,485
471,6119,8071,0.76,4793,958,5.00,1614,941,1.72,2467
472,1937,1726,1.12,1598,96,16.65,517,77,6.71,604
473,3908,7122,0.55,5570,949,5.87,2448,864,2.83,2740
474,4600,9384,0.49,3039,882,3.45,1298,846,1.53,1530
475,5116,4333,1.18,1946,340,5.72,951,337,2.82,665
476,744,1094,0.68,1117,111,10.06,452,116,3.90,533
477,2621,2576,1.02,2292,289,7.93,734,285,2.58,921
478,8042,8491,0.95,4413,1004,4.40,1234,990,1.25,2034
479,1512,2568,0.59,1188,307,3.87,615,302,2.04,577
480,3688,7776,0.47,3102,734,4.23,1332,760,1.75,1605
481,2595,5487,0.47,2433,587,4.14,1411,588,2.40,1391
482,875,1594,0.55,1324,73,18.14,546,76,7.18,582
483,2096,2770,0.76,1488,149,9.99,663,137,4.84,585
484,2622,3071,0.85,1743,484,3.60,686,490,1.4,784
485,1501,2393,0.63,963,213,4.52,292,223,1.31,529
486,1027,1369,0.75,1126,85,13.25,385,85,4.53,482
487,1448,3144,0.46,1732,219,7.91,840,245,3.43,832
488,3495,5120,0.68,1679,425,3.95,709,454,1.56,764
489,4674,7920,0.59,3538,424,8.34,1559,410,3.80,1413
490,4676,5799,0.81,3963,648,6.12,1379,696,1.98,1804
491,3121,3628,0.86,2591,135,19.19,831,126,6.60,1213
492,3323,5475,0.61,1865,593,3.15,798,631,1.26,879
493,3425,4430,0.77,1760,361,4.88,787,334,2.36,671
494,2264,2832,0.80,2563,293,8.75,761,304,2.50,1044
495,1113,1460,0.76,1603,145,11.06,577,143,4.03,705
496,2915,5830,0.5,3208,399,8.04,1203,415,2.90,1526
497,2038,3784,0.54,2143,264,8.12,1040,267,3.90,641
498,5946,5615,1.06,3221,682,4.72,1308,645,2.03,1381
499,7466,4904,1.52,3051,448,6.81,1225,425,2.88,1023
500,2675,3330,0.80,2290,293,7.82,626,313,2,973
501,872,1685,0.52,536,187,2.87,266,197,1.35,240
502,893,1068,0.84,976,126,7.75,416,135,3.08,401
503,1604,1635,0.98,1157,290,3.99,300,302,0.99,581
504,1680,2530,0.66,1468,198,7.41,653,195,3.35,632
505,757,828,0.91,1303,44,29.61,424,41,10.34,534
506,3288,3702,0.89,2051,379,5.41,748,410,1.82,742
507,1175,2046,0.57,822,190,4.33,363,204,1.78,346
508,1935,2064,0.94,1941,104,18.66,738,86,8.58,764
509,4463,3759,1.19,2412,246,9.80,882,227,3.89,1092
510,3935,4780,0.82,3469,650,5.34,1286,668,1.93,1776
511,5057,7822,0.65,4286,1081,3.96,1578,1065,1.48,2055
512,2256,1897,1.19,1675,190,8.82,531,205,2.59,824
513,3294,4910,0.67,3899,277,14.08,1464,230,6.37,1561
514,3523,5194,0.68,3795,346,10.97,1191,311,3.83,1436
515,2934,6591,0.45,3104,342,9.08,1482,296,5.01,1198
516,2880,2350,1.23,2234,261,8.56,520,242,2.15,856
517,4467,3931,1.14,4310,250,17.24,1267,222,5.71,1394
518,1182,2594,0.46,1074,115,9.34,639,84,7.61,474
519,6858,9063,0.76,2809,933,3.01,1275,992,1.29,1287
520,3709,6208,0.60,1858,704,2.64,651,694,0.94,902
521,3213,4478,0.72,3888,370,10.51,1203,357,3.37,1566
522,2163,2582,0.84,1741,211,8.25,635,202,3.14,820
523,955,1559,0.61,1403,147,9.54,614,126,4.87,583
524,564,1052,0.54,835,127,6.57,351,114,3.08,435
525,3959,4391,0.90,3507,179,19.59,1332,174,7.66,1380
526,4942,7183,0.69,3203,831,3.85,1204,805,1.50,1373
527,1444,1282,1.13,1362,175,7.78,522,158,3.30,396
528,846,2362,0.36,734,320,2.29,414,357,1.16,436
529,2877,4424,0.65,2215,481,4.60,982,521,1.88,1187
530,3730,5987,0.62,1751,411,4.26,1017,394,2.58,756
531,2157,3706,0.58,2130,220,9.68,878,216,4.06,1017
532,995,2485,0.40,744,237,3.14,466,214,2.18,352
533,960,992,0.97,1060,64,16.56,387,56,6.91,435
534,2615,5908,0.44,2311,688,3.36,1155,631,1.83,1461
535,2847,4161,0.68,2173,366,5.94,798,357,2.24,1177
536,4535,9352,0.48,5254,493,10.66,2389,463,5.16,2398
537,2543,5132,0.50,2769,719,3.85,927,711,1.30,1294
538,5354,7114,0.75,4065,588,6.91,1439,538,2.67,1984
539,2986,4011,0.74,4034,234,17.24,1225,227,5.40,1681
540,4807,3310,1.45,2888,438,6.59,834,434,1.92,1056
541,2972,4646,0.64,2534,629,4.03,889,572,1.55,1079
542,2000,2453,0.82,1857,411,4.52,666,379,1.76,908
543,6255,9579,0.65,5960,696,8.56,2095,657,3.19,2729
544,2981,2469,1.21,2835,136,20.85,804,133,6.05,1177
545,1364,2074,0.66,737,234,3.15,298,269,1.11,283
546,2810,3727,0.75,2173,445,4.88,764,408,1.87,978
547,2417,3959,0.61,1660,367,4.52,667,348,1.92,729
548,1112,1188,0.94,1647,18,91.5,572,14,40.86,640
549,5485,8718,0.63,4217,624,6.76,2077,528,3.93,1932
550,2170,2580,0.84,1786,201,8.89,583,249,2.34,808
551,911,2675,0.34,1239,196,6.32,574,227,2.53,621
552,2184,2769,0.79,1428,239,5.97,648,229,2.83,601
553,2155,4082,0.53,3875,175,22.14,1945,163,11.93,2016
554,1745,3740,0.47,1750,302,5.79,865,260,3.33,959
555,9194,8279,1.11,4578,604,7.58,1395,632,2.21,1949
556,2314,3757,0.62,2476,262,9.45,1257,411,3.06,1214
557,1916,2255,0.85,1855,185,10.03,527,186,2.83,707
558,8757,10559,0.83,4037,1557,2.59,1878,1477,1.27,1799
559,2681,2682,1.00,2160,184,11.74,791,187,4.23,882
560,2763,3924,0.70,1839,395,4.66,683,437,1.56,1044
561,1069,2344,0.46,1281,136,9.42,681,120,5.68,579
562,892,2161,0.41,904,219,4.13,482,208,2.32,480
563,2150,5645,0.38,3710,241,15.39,1366,307,4.45,2169
564,3705,5033,0.74,1777,760,2.34,831,789,1.05,641
565,3416,7392,0.46,3105,679,4.57,1312,728,1.80,2013
566,3939,10880,0.36,4726,969,4.88,2178,911,2.39,2339
567,4644,8377,0.55,3919,692,5.66,1625,622,2.61,1660
568,11423,14605,0.78,7585,1500,5.06,2099,1563,1.34,3908
569,2915,3165,0.92,1345,271,4.96,440,262,1.68,552
570,3006,4662,0.64,1755,233,7.53,1008,229,4.40,707
571,3592,4086,0.88,2284,366,6.24,971,455,2.13,948
572,632,735,0.86,1621,14,115.79,512,12,42.67,584
573,4629,8436,0.55,6581,506,13.01,2276,443,5.14,2925
574,9195,8849,1.04,3424,1592,2.15,1375,1788,0.77,1623
575,6327,10667,0.59,2997,997,3.01,1198,1212,0.99,1538
576,2354,4927,0.48,1936,495,3.91,1003,484,2.07,908
577,2705,5556,0.49,1682,572,2.94,1032,560,1.84,1006
578,9294,10373,0.90,4737,1357,3.49,1543,1344,1.15,2632
579,1538,2108,0.73,1386,95,14.59,661,88,7.51,641
580,2405,4658,0.52,2030,314,6.46,837,303,2.76,1135
581,2283,2572,0.89,2644,181,14.61,837,185,4.52,1240
582,818,1285,0.64,973,125,7.78,355,130,2.73,424
583,2848,4240,0.67,2325,563,4.13,652,593,1.10,1365
584,2047,1980,1.03,1429,183,7.81,492,175,2.81,598
